"","basisOfRecord","scientificName","family","genus","decimalLongitude","decimalLatitude","stateProvince","year","month","country","catalogNumber","institutionCode","county","locality"
"1","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.09461,40.85736,"California",2021,1,"United States of America","OBS1041112227","CLO","Humboldt","Arcata Marsh and Wildlife Sanctuary"
"2","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.62663,38.548367,"California",2021,1,"United States of America","OBS1041340109","CLO","Yolo","Yolo Bypass Wildlife Area--Auto Tour Route"
"3","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.10234,37.43515,"California",2021,1,"United States of America","OBS1041277732","CLO","Santa Clara","Adobe Creek--north of US-101"
"4","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.83425,33.920547,"California",2021,1,"United States of America","OBS1041188671","CLO","Orange","Carbon Canyon Regional Park"
"5","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-116.91708,32.85833,"California",2021,1,"United States of America","OBS1041176538","CLO","San Diego","Lindo Lake"
"6","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.24738,37.752598,"California",2021,1,"United States of America","OBS1041615370","CLO","Alameda","Elsie Roemer Bird Sanctuary"
"7","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1041340979","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"8","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.83425,33.920547,"California",2021,1,"United States of America","OBS1041194360","CLO","Orange","Carbon Canyon Regional Park"
"9","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1041293824","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"10","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1041203640","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"11","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.14158,37.498726,"California",2021,1,"United States of America","OBS1041375918","CLO","San Mateo","Don Edwards NWR--Ravenswood Salt Ponds R1/R2"
"12","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.20366,40.31265,"California",2021,1,"United States of America","OBS1041486839","CLO","Plumas","Lake Almanor--Hwy 36 Causeway"
"13","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1041159608","CLO","Orange","Bolsa Chica Ecological Reserve"
"14","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.31035,37.888977,"California",2021,1,"United States of America","OBS1041235739","CLO","Alameda","McLaughlin Eastshore State Park, Albany US-CA 37.88898, -122.31035"
"15","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.08245,33.981018,"California",2021,1,"United States of America","OBS1041252712","CLO","Los Angeles","San Gabriel Coastal Basin Spreading Grounds"
"16","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1041163163","CLO","Orange","Bolsa Chica Ecological Reserve"
"17","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.44124,38.266636,"California",2021,1,"United States of America","OBS1041042021","CLO","Sacramento","Cosumnes River Preserve, Elk Grove US-CA 38.26664, -121.44124"
"18","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.38925,34.008095,"California",2021,1,"United States of America","OBS1041187765","CLO","Los Angeles","Raintree (restricted access)"
"19","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.17191,39.405434,"California",2021,1,"United States of America","OBS1041197983","CLO","Glenn","Sacramento NWR"
"20","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1041340503","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"21","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1041262555","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail"
"22","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.62663,38.548367,"California",2021,1,"United States of America","OBS1041253675","CLO","Yolo","Yolo Bypass Wildlife Area--Auto Tour Route"
"23","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.729485,33.347416,"California",2021,1,"United States of America","OBS1040991778","CLO","Imperial","Bombay Beach--Ave. E"
"24","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.419716,38.284294,"California",2021,1,"United States of America","OBS1041288426","CLO","Sacramento","Bruceville Rd.--Twin Cities Rd. to Desmond Rd."
"25","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1041301628","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine"
"26","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.093605,33.756493,"California",2021,1,"United States of America","OBS1040940996","CLO","Orange","Los Alamitos Retarding Basin"
"27","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.20366,40.31265,"California",2021,1,"United States of America","OBS1041486829","CLO","Plumas","Lake Almanor--Hwy 36 Causeway"
"28","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045395,33.707493,"California",2021,1,"United States of America","OBS1041166387","CLO","Orange","Bolsa Chica--Brightwater area"
