"","flight_joined.origin","flight_joined.year","flight_joined.month","flight_joined.day"
"1","EWR",2013,10,16
"2","JFK",2013,7,14
"3","LGA",2013,9,12
"4","EWR",2013,10,25
"5","EWR",2013,9,2
"6","LGA",2013,2,23
"7","JFK",2013,5,29
"8","JFK",2013,10,9
"9","LGA",2013,6,11
"10","LGA",2013,5,10
"11","JFK",2013,7,2
"12","EWR",2013,4,21
"13","EWR",2013,3,15
"14","JFK",2013,2,14
"15","EWR",2013,9,24
"16","JFK",2013,2,5
"17","EWR",2013,3,11
"18","LGA",2013,8,16
"19","JFK",2013,3,27
"20","JFK",2013,8,21
"21","JFK",2013,7,21
"22","JFK",2013,7,13
"23","LGA",2013,2,14
"24","LGA",2013,7,17
"25","JFK",2013,6,18
"26","LGA",2013,2,1
"27","LGA",2013,9,4
"28","EWR",2013,10,21
"29","JFK",2013,9,22
"30","EWR",2013,5,17
"31","LGA",2013,9,25
"32","JFK",2013,4,25
"33","EWR",2013,12,2
"34","JFK",2013,2,17
"35","LGA",2013,6,28
"36","JFK",2013,2,14
"37","JFK",2013,5,15
"38","EWR",2013,12,21
"39","LGA",2013,10,5
"40","EWR",2013,7,22
"41","EWR",2013,1,14
"42","EWR",2013,6,21
"43","LGA",2013,10,26
"44","LGA",2013,3,13
"45","EWR",2013,5,13
"46","LGA",2013,9,16
"47","LGA",2013,8,13
"48","JFK",2013,3,14
"49","EWR",2013,6,10
"50","JFK",2013,9,23
"51","EWR",2013,6,27
"52","JFK",2013,12,6
"53","LGA",2013,2,14
"54","EWR",2013,3,10
"55","EWR",2013,1,22
"56","EWR",2013,6,1
"57","LGA",2013,12,23
"58","LGA",2013,9,13
"59","LGA",2013,8,4
"60","JFK",2013,8,16
"61","JFK",2013,11,21
"62","JFK",2013,9,23
"63","EWR",2013,6,6
"64","JFK",2013,5,2
"65","LGA",2013,1,21
"66","LGA",2013,4,23
"67","JFK",2013,8,22
"68","LGA",2013,1,27
"69","LGA",2013,6,16
"70","JFK",2013,2,13
"71","EWR",2013,5,23
"72","JFK",2013,4,11
"73","EWR",2013,7,22
"74","JFK",2013,6,14
"75","JFK",2013,10,29
"76","EWR",2013,8,20
"77","LGA",2013,11,25
"78","LGA",2013,3,11
"79","EWR",2013,8,27
"80","JFK",2013,11,23
"81","JFK",2013,10,11
"82","EWR",2013,10,27
"83","EWR",2013,9,9
"84","JFK",2013,8,31
"85","JFK",2013,10,8
"86","EWR",2013,12,23
"87","JFK",2013,8,16
"88","LGA",2013,9,19
"89","JFK",2013,9,23
"90","EWR",2013,5,17
"91","JFK",2013,11,19
"92","EWR",2013,1,7
"93","JFK",2013,5,11
"94","JFK",2013,6,17
"95","JFK",2013,1,29
"96","EWR",2013,5,13
"97","EWR",2013,7,10
"98","EWR",2013,8,30
"99","EWR",2013,6,27
"100","JFK",2013,1,24
"101","EWR",2013,8,27
"102","LGA",2013,10,4
"103","EWR",2013,3,24
"104","JFK",2013,9,30
"105","LGA",2013,7,31
"106","JFK",2013,5,2
"107","EWR",2013,7,22
"108","JFK",2013,10,21
"109","LGA",2013,12,19
"110","JFK",2013,2,19
"111","JFK",2013,11,1
"112","JFK",2013,1,18
